window,recombination
0,0
1,0.236963225
2,0.947852901
3,0.236963225
4,0
5,0.471691016
6,0.707536525
7,0
8,0.707536525
9,0.235845508
10,1.179227541
11,1.650918558
12,2.127101733
13,0.235845508
14,0.947874192
15,1.42185448
16,0.235845508
17,0.471691016
18,0
19,0.235845508
20,1.179227541
21,0.945628112
22,2.607951095
23,0.943382033
24,0.471691016
25,0
26,0
27,0
28,0.707536525
29,0.471691016
30,1.419565208
31,0.709771959
32,0
33,0.943382033
34,0.707536525
35,0
36,0.471691016
37,0.471691016
38,0.471691016
39,1.655410716
40,1.181473621
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0.471691016
49,0.945628112
50,0.709782604
51,0.235845508
52,0
53,0
54,0
55,0.943382033
56,1.415073049
57,0.235845508
58,0
59,0
60,1.650918558
61,0.709771959
62,0
63,0.943382033
64,0.471691016
65,0
66,0.707536525
67,0.235845508
68,0.707536525
69,0.471691016
70,0.709782604
71,0.471691016
72,0
73,0.707536525
74,0.235845508
75,0.945628112
76,0.707536525
77,1.1837197
78,0.235845508
79,0
80,0.471691016
81,0
82,0.471691016
83,0.473926451
84,0
85,0
86,0.710889676
87,0.948981263
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0.235845508
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0.707536525
142,0.707536525
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0.235845508
152,0
153,0.235845508
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0.235845508
164,0.471691016
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0.235845508
174,0.235845508
175,0.235845508
176,0.471691016
177,1.188255051
178,1.2021266
179,0.235845508
180,0.235845508
181,0.714317955
182,0.943382033
183,0
184,0
185,0.471691016
186,0
187,0
188,0
189,0.473937096
190,0.235845508
191,0
192,0
193,1.886764066
194,0.943382033
195,0.235845508
196,0.472808734
197,0.235845508
198,0.471691016
199,0.945628112
200,0.471691016
201,0.707536525
202,0.707536525
203,0.945628112
204,0
205,0.235845508
206,1.653164637
207,1.893545497
208,0.473937096
209,0.473937096
210,0
211,0
212,0
213,0.235845508
214,0.943382033
215,2.127101733
216,0.945628112
217,0.707536525
218,0
219,0.709782604
220,0.943382033
221,0.471691016
222,0.707536525
223,0.943382033
224,0.235845508
225,0.471691016
226,0.707536525
227,0.945628112
228,0
229,0
230,0
231,0.707536525
232,0.707536525
233,0.235845508
234,0
235,0.471691016
236,0.707536525
237,0.707536525
238,0
239,0
240,0
241,0.707536525
242,0
243,0
244,0.943382033
245,0.943382033
246,0.950163464
247,0
248,0
249,0
250,0
251,0.235845508
252,1.179227541
253,0.950163464
254,0.235845508
255,0.473937096
256,0.950163464
257,0.943382033
258,0.235845508
259,0.945628112
260,0.471691016
261,1.179227541
262,0.473937096
263,0.235845508
264,0.943382033
265,0
266,1.186008972
267,0.235845508
268,0
269,0
270,0
271,0.235845508
272,0.943382033
273,1.179227541
274,0.235845508
275,0
276,0.707536525
277,0.235845508
278,0
279,1.179227541
280,0.235845508
281,0.235845508
282,0.707536525
283,1.179227541
284,1.42185448
285,1.181473621
286,0.471691016
287,0.235845508
288,1.181473621
289,0.235845508
290,0.471691016
291,0.235845508
292,0.235845508
293,0.707536525
294,0.235845508
295,0.707536525
296,1.179227541
297,0.471691016
298,1.181473621
299,0.943382033
300,2.124855654
301,0.471691016
302,0.707536525
303,0
304,0.471691016
305,0.471691016
306,1.186008972
307,0
308,0
309,
310,
