window,recombination
0,0
1,0
2,0.235845508
3,0
4,0
5,0.471691016
6,0.943382033
7,0
8,0
9,0
10,3.091136746
11,0.945628112
12,0.709782604
13,0.235845508
14,0.707536525
15,0.235845508
16,0.471691016
17,0
18,0.709782604
19,0.471691016
20,0.707536525
21,1.650918558
22,1.179227541
23,0.235845508
24,0
25,0
26,0
27,0
28,0.473937096
29,0
30,0.471691016
31,0
32,0
33,0
34,0
35,0.235845508
36,0.235845508
37,0.709782604
38,0.235845508
39,0.235845508
40,0.707536525
41,0.235845508
42,0
43,0
44,0
45,0.235845508
46,0
47,0.471691016
48,0.943382033
49,0.943382033
50,0.235845508
51,0.714317955
52,1.659946068
53,1.415073049
54,0.471691016
55,0.943382033
56,0.943382033
57,0.471691016
58,1.891256225
59,0
60,0.471691016
61,0.235845508
62,0.471691016
63,0.235845508
64,0.943382033
65,0.471691016
66,0.235845508
67,1.659946068
68,0.471691016
69,0
70,0.707536525
71,0.235845508
72,0
73,0
74,1.181473621
75,0.943382033
76,0
77,0
78,0.471691016
79,0.471691016
80,0.471691016
81,0.471691016
82,0
83,1.893545497
84,2.610109531
85,2.129347812
86,1.179227541
87,0
88,0.471691016
89,0.235845508
90,0.473937096
91,0.471691016
92,0
93,0.235845508
94,0
95,0.471691016
96,0.235845508
97,0.471691016
98,0.471691016
99,0
100,0
101,0.235845508
102,0
103,0.471691016
104,0.471691016
105,0
106,0.235845508
107,0
108,0.707536525
109,0.945628112
110,0
111,0.235845508
112,0.943382033
113,0.471691016
114,0.945628112
115,0
116,0
117,0
118,0.94449975
119,0.235845508
120,0.471691016
121,0
122,0
123,0.948991907
124,0.235845508
125,0.471691016
126,0
127,0.235845508
128,0.473937096
129,0.707536525
130,0.707536525
131,0.235845508
132,0
133,0
134,0
135,0
136,0.235845508
137,0
138,0
139,0
140,0
141,0
142,0.235845508
143,1.184848214
144,0
145,0
146,0.235845508
147,0
148,0
149,0.235845508
150,0
151,0
152,0.471691016
153,0
154,0
155,0
156,0
157,0
158,0.473937096
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0.943382033
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0.235845508
189,0
190,0.471691016
191,0.235845508
192,0.471691016
193,0
194,0
195,0
196,0
197,0
198,0.235845508
199,0
200,0.707536525
201,0
202,0
203,0
204,0
205,0
206,0.945628112
207,0
208,0
209,0.471691016
210,0.471691016
211,0.235845508
212,0.945628112
213,0.471691016
214,0
215,0.709782604
216,0.235845508
217,0.235845508
218,0
219,0.471691016
220,0.235845508
221,0.471691016
222,0
223,1.179227541
224,1.650918558
225,0.943382033
226,0.471691016
227,1.179227541
228,0.471691016
229,0
230,0.473937096
231,0.471691016
232,0.94449975
233,0
234,0
235,0.707536525
236,1.179227541
237,0.235845508
238,0.946745829
239,0
240,0
241,0
242,0.709782604
243,1.657699988
244,0.709782604
245,0.235845508
246,0.947852901
247,1.187083648
248,0
249,0
250,0.472808734
251,1.654271709
252,1.415073049
253,0.708654242
254,0.473926451
255,0.473926451
256,0.946735184
257,0
258,0.946745829
259,0
260,0.235845508
261,0
262,0
263,0
264,0.709782604
265,0
266,0
267,0.943382033
268,0.943382033
269,0.235845508
270,0.709782604
271,0.235845508
272,0.707536525
273,0.473937096
274,0.471691016
275,0.471691016
276,0
277,0
278,0.236963225
279,0.473926451
280,0
281,0
282,0.471691016
283,0.235845508
284,0
285,0
286,0.235845508
287,0.236963225
288,0.947852901
289,0.472808734
290,0
291,0.235845508
292,0.235845508
293,0.235845508
294,0.471691016
295,0.471691016
296,0.471691016
297,0.235845508
298,0.471691016
299,0.235845508
300,1.1837197
301,0.235845508
302,0.471691016
303,0.235845508
304,0
305,0.236963225
306,1.421789997
307,1.184848214
308,0.471691016
309,0
310,0
311,0.943382033
312,0.235845508
313,0.235845508
314,0.235845508
315,0.235845508
316,0
317,0.235845508
318,0.235845508
319,0.473937096
320,0.707536525
321,0.473937096
322,0
323,0
324,2.378746153
325,0
326,0
327,0.236963225
328,1.424046873
329,0.473926451
330,0.713157197
331,0.236963225
332,0.236963225
333,0
334,0.473926451
335,0
