window,recombination
0,0
1,0.471691016
2,0
3,0.943382033
4,1.659946068
5,0.471691016
6,0
7,0.473937096
8,3.075019117
9,0.707536525
10,0.471691016
11,0.235845508
12,0
13,0
14,0
15,0.235845508
16,0.235845508
17,0.471691016
18,0.473937096
19,0
20,0
21,1.664569062
22,0.471691016
23,1.417319129
24,0.709782604
25,0
26,0.235845508
27,0.235845508
28,0
29,0.235845508
30,0.707536525
31,0.235845508
32,0.473937096
33,1.186008972
34,1.186008972
35,0.945628112
36,0.709782604
37,2.643025082
38,0.471691016
39,0.235845508
40,1.664569062
41,1.417319129
42,0.471691016
43,0
44,0
45,0
46,0.709782604
47,0.235845508
48,0.707536525
49,0
50,0.235845508
51,0
52,0.471691016
53,2.365236513
54,0.235845508
55,0.943382033
56,0.235845508
57,0.709782604
58,0.945628112
59,0.707536525
60,0.943382033
61,0
62,0.707536525
63,1.415073049
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0.235845508
77,0.235845508
78,0.235845508
79,0.235845508
80,0.471691016
81,0.471691016
82,0.235845508
83,0
84,0.707536525
85,0.235845508
86,0
87,0.707536525
88,0
89,0.709782604
90,0.471691016
91,0.707536525
92,0.943382033
93,0.236963225
94,0
95,0.471691016
96,0
97,0.471691016
98,0.471691016
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0.235845508
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0.235845508
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0.235845508
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0.471691016
156,0
157,0
158,0.235845508
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0.235845508
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0.235845508
179,0
180,0.235845508
181,0
182,0.235845508
183,0.471691016
184,0
185,0
186,0
187,0
188,0.235845508
189,0
190,0.471691016
191,0
192,0.235845508
193,0
194,0
195,0
196,0.235845508
197,0
198,0.471691016
199,0
200,0.471691016
201,0.471691016
202,0.707536525
203,1.655410716
204,0
205,0.235845508
206,0.235845508
207,0
208,0.235845508
209,0
210,0.473937096
211,0.235845508
212,0.235845508
213,0.707536525
214,0.94449975
215,0.235845508
216,1.179227541
217,0
218,1.179227541
219,1.1837197
220,0.473926451
221,0.707536525
222,0.707536525
223,0.473937096
224,0.943382033
225,0.943382033
226,0.473937096
227,0.471691016
228,0.707536525
229,0.471691016
230,0
231,1.179227541
232,0
233,0.235845508
234,0.235845508
235,0
236,0.945628112
237,1.415073049
238,0.471691016
239,0.235845508
240,1.181473621
241,0.471691016
242,0
243,0.709782604
244,0
245,1.179227541
246,0.471691016
247,0
248,0
249,0.471691016
250,2.122609574
251,2.147754713
252,0
253,0.471691016
254,0.471691016
255,0.707536525
256,0.943382033
257,0.943382033
258,0.235845508
259,0.707536525
260,0.707536525
261,0.707536525
262,0.471691016
263,0.235845508
264,0.471691016
265,0.943382033
266,0.471691016
267,0.235845508
268,0.471691016
269,1.179227541
270,0
271,0.471691016
272,0.943382033
273,0.707536525
274,0.235845508
275,1.653164637
276,0.471691016
277,1.886764066
278,0.235845508
279,1.419565208
280,0.235845508
281,0.708654242
282,0.945628112
283,0.235845508
284,0.235845508
285,0.235845508
286,0.235845508
287,0
288,1.419565208
289,0
290,0
291,
