window,recombination
0,0
1,0.235845508
2,0
3,0
4,0
5,0
6,0.235845508
7,0
8,0
9,0
10,0
11,0
12,0.235845508
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,0
32,1
33,0.709771959
34,0.707536525
35,0.235845508
36,0.235845508
37,0.473926451
38,0
39,0.236963225
40,0
41,0.943382033
42,0.473926451
43,0
44,0.473937096
45,0
46,0.710889676
47,0
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0.471691016
59,0
60,0
61,0
62,0
63,0
64,0.709782603
65,0
66,0
67,0
68,0
69,0
70,0.473937096
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0.235845508
79,0
80,0.471691016
81,0.471691016
82,0
83,0.471691016
84,0
85,0
86,0
87,0.945628112
88,0.471691016
89,0.235845508
90,0
91,0.471691016
92,0.235845508
93,0.707536525
94,0.471691016
95,0
96,0.473937096
97,0
98,0
99,0
100,0
101,1.181473621
102,0.235845508
103,0.471691016
104,1.179227541
105,0
106,0.945628112
107,0.471691016
108,0
109,0.235845508
110,0.235845508
111,0.94449975
112,0.235845508
113,0.707536525
114,0.943382033
115,0.235845508
116,0.235845508
117,0
118,0.235845508
119,0.476193972
120,0.707536525
121,0
122,0.235845508
123,0
124,0.94449975
125,0.708654242
126,0.707536525
127,0
128,0
129,0.471691016
130,0.235845508
131,0
132,0
133,0
134,0.235845508
135,0
136,0.235845508
137,0.707536525
138,1.889010145
139,0.471691016
140,1.181473621
141,0.471691016
142,0
143,0.235845508
144,0.471691016
145,0.471691016
146,0
147,0.945628112
148,0
149,0
150,0
151,0
152,0
153,0
154,2.136260079
155,1.181473621
156,1.430969633
157,2.129347812
158,0.471691016
159,0
160,0.235845508
161,0.471691016
162,1.179227541
163,0.235845508
164,0.235845508
165,1.650918558
166,0.943382033
167,0.709782604
168,0.471691016
169,0
170,0.471691016
171,0.235845508
172,1.650918558
173,0
174,0.471691016
175,1.179227541
176,0.471691016
177,0
178,1.891256225
179,0.235845508
180,1.417319129
181,0.943382033
182,0
183,0.709782604
184,0.471691016
185,0.943382033
186,0.709782604
187,0.235845508
188,0.707536525
189,0.235845508
190,0.471691016
191,0.943382033
192,0.235845508
193,0
194,0.235845508
195,0.235845508
196,1.891256225
197,2.124855654
198,0
199,0
200,0.471691016
201,0.235845508
202,0.708654242
203,0.471691016
204,0.471691016
205,0.471691016
206,1.181473621
207,1.417319129
208,0.707536525
209,0
210,0.235845508
211,0
212,0.235845508
213,0
214,0
215,0
216,0
217,0
218,0.235845508
219,1.893502455
220,0.708654242
221,0.707536525
222,0.473937096
223,1.650918558
224,0.235845508
225,1.653164637
226,0.471691016
227,0.235845508
228,0.471691016
229,0.473937096
230,0.708654242
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
